n_acceso,cambio,actividad,anillo,fecha,historial_actividades,estado_ciclo,observacion_caso_atipico,estado_validacion,detalle_inconsistencia,conteo_duplicados
00000/00000/00000,C376662,AMPLIACION,HUACALBOC020,2014-11-08,AMPLIACION (C376662),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,370062,INSTALACION,MEACALAVRI03,2014-11-21,INSTALACION (370062),ACTIVO,IDSERVICIO_INFERIDO,INCONSISTENCIA,obs_atipica_IDSERVICIO_INFERIDO,1.0
00000/00000/00000,381555,INSTALACION,MEACALAVOL02,2014-11-24,INSTALACION (381555),ACTIVO,IDSERVICIO_INFERIDO,INCONSISTENCIA,obs_atipica_IDSERVICIO_INFERIDO,1.0
00000/00000/00000,C384484,AMPLIACION,HUACALBOKE08,2014-12-05,AMPLIACION (C384484),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,386126,INSTALACION,HUACALAVZF01,2014-12-09,INSTALACION (386126),ACTIVO,IDSERVICIO_INFERIDO,INCONSISTENCIA,obs_atipica_IDSERVICIO_INFERIDO,1.0
00000/00000/00000,386140,INSTALACION,HUACALAVCO01,2014-12-09,INSTALACION (386140),ACTIVO,IDSERVICIO_INFERIDO,INCONSISTENCIA,obs_atipica_IDSERVICIO_INFERIDO,1.0
00000/00000/00000,385844,ILUMINACION DE ANILLO,MEACALBOCR04,2014-12-18,ILUMINACION DE ANILLO (385844),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,385765,ILUMINACION DE ANILLO,MEACALBOCE07,2014-12-19,ILUMINACION DE ANILLO (385765),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,385778,ILUMINACION DE ANILLO,MEACALBOBA04,2014-12-20,ILUMINACION DE ANILLO (385778),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,385848,ILUMINACION DE ANILLO,MEACALBOSU03,2014-12-20,ILUMINACION DE ANILLO (385848),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,385835,ILUMINACION DE ANILLO,MEACALBOCR05,2014-12-22,ILUMINACION DE ANILLO (385835),ACTIVO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,duplicado_2.0_veces,2.0
00000/00000/00000,C388760,AMPLIACION,HUACE02,2014-12-23,AMPLIACION (C388760),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,C389316,AMPLIACION,HUACALBOSA14,2014-12-26,AMPLIACION (C389316),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,C389756,AMPLIACION,HUACALBOSB11,2014-12-26,AMPLIACION (C389756),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,C389443,AMPLIACION,HUAAC08,2014-12-30,AMPLIACION (C389443),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,377608,OTROS,HUCBOMJ01,2014-12-31,OTROS (377608),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,C390766,AMPLIACION,HUACALBOSJ11,2015-01-05,AMPLIACION (C390766),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,C391476,AMPLIACION,HUACALBOBA13,2015-01-06,AMPLIACION (C391476),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,385838,ILUMINACION DE ANILLO,MEACALBORI03,2015-01-07,ILUMINACION DE ANILLO (385838),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,C391274,DESPROGRAMACION,HUACALBONI12,2015-01-08,DESPROGRAMACION (C391274),CANCELADO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,estado_CANCELADO,1.0
00000/00000/00000,377384,ILUMINACION DE ANILLO,OTNBBANSUR01,2015-01-15,ILUMINACION DE ANILLO (377384),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,C393792,AMPLIACION,HUACALBOSJ10,2015-01-26,AMPLIACION (C393792),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,C401247,AMPLIACION,HUACALBOFO10,2015-02-12,DISMINUCION (C393658) → AMPLIACION (C401247),ACTIVO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,historial_con_caracteres_extraños,1.0
00000/00000/00000,C401401,AMPLIACION,HUACANVIES07,2015-02-16,AMPLIACION (C401401),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,C403528,AMPLIACION,huacalboce30,2015-02-20,AMPLIACION (C403528),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,402028,ILUMINACION DE ANILLO,MEACALAVFOXX,2015-02-24,ILUMINACION DE ANILLO (402028),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,C404094,AMPLIACION,HUACO06,2015-02-24,AMPLIACION (C404094),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,C402879,AMPLIACION,HUACALBOSF08,2015-02-27,AMPLIACION (C396571) → AMPLIACION (C402879),ACTIVO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,historial_con_caracteres_extraños,1.0
00000/00000/00000,C406128,AMPLIACION,HUACALBORI08,2015-03-06,AMPLIACION (C406128),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,C378256,INSTALACION,MECACALBOHU01,2015-03-20,INSTALACION (C378256),ACTIVO,OK,OK,,1.0
00000/00000/00000,C407623,AMPLIACION,HUACALBOCE28,2015-03-21,AMPLIACION (407623) → AMPLIACION (C407623),ACTIVO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,historial_con_caracteres_extraños,1.0
00000/00000/00000,C406121,AMPLIACION,HUCALBOCU10,2015-03-25,AMPLIACION (C406121),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,C413200,AMPLIACION,HUASU09,2015-03-31,AMPLIACION (C413200),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,339400,MIGRACION,MEACBLBOCA01,2015-04-06,MIGRACION (339400),ACTIVO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,duplicado_2.0_veces,2.0
00000/00000/00000,C404600,AMPLIACION,HUACALBOSU07,2015-04-06,AMPLIACION (C404600),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,C414708,AMPLIACION,HUAFO05,2015-04-08,AMPLIACION (C414708),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,C413858,AMPLIACION,HUACO18,2015-04-09,AMPLIACION (C413858),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,C403453,AMPLIACION,HUABS02,2015-04-15,AMPLIACION (C403966) → AMPLIACION (C403965) → AMPLIACION (C403453) → AMPLIACION (C403453),ACTIVO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,historial_con_caracteres_extraños,1.0
00000/00000/00000,416865,ILUMINACION DE ANILLO,MEACLWINO01,2015-04-16,ILUMINACION DE ANILLO (416865),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,339690,RECONFIG ANILLO,MEACALCMSC10,2015-04-20,RECONFIG ANILLO (339690),ACTIVO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,duplicado_3.0_veces,3.0
00000/00000/00000,C418875,AMPLIACION,HUASO05,2015-04-24,AMPLIACION (C418875),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,C419088,AMPLIACION,HUACALBOFO11,2015-04-28,AMPLIACION (C419088),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,398756,ILUMINACION DE ANILLO,CEBBALBOAU01,2015-04-29,ILUMINACION DE ANILLO (398756),ACTIVO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,duplicado_2.0_veces,2.0
00000/00000/00000,C419539,AMPLIACION,HUACALBOCO26,2015-04-30,AMPLIACION (C419539),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,368995,ILUMINACION DE ANILLO,CEBBALBOCO04,2015-05-13,ILUMINACION DE ANILLO (368995),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,358415,ACTUALIZACION,CEAGALBOMU03,2015-05-19,ACTUALIZACION (358415),ACTIVO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,duplicado_7.0_veces,7.0
00000/00000/00000,C423800,DISMINUCION,HUANO16,2015-05-21,AMPLIACION (C416458) → DISMINUCION (C423800),ACTIVO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,historial_con_caracteres_extraños,1.0
00000/00000/00000,C425971,AMPLIACION,HUATE14,2015-05-29,AMPLIACION (C425971),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,C430201,AMPLIACION,HUACALBONO25,2015-05-29,AMPLIACION (C430201),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,428726,ILUMINACION DE ANILLO,MEACALCMKE15,2015-06-01,ILUMINACION DE ANILLO (428726),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,428753,ILUMINACION DE ANILLO,MEACALCMKE16,2015-06-01,ILUMINACION DE ANILLO (428753),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,428757,ILUMINACION DE ANILLO,MEACALCMBA07,2015-06-02,ILUMINACION DE ANILLO (428757),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,C426679,ILUMINACION DE ANILLO,MEACALCMKE14,2015-06-02,ILUMINACION DE ANILLO (C426679),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,C428073,AMPLIACION,HUAFO08,2015-06-04,AMPLIACION (C428073),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,C430973,AMPLIACION,HUACALBOSB14,2015-06-11,AMPLIACION (C430973),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,433379,ILUMINACION DE ANILLO,MEACALCMSC13,2015-06-12,ILUMINACION DE ANILLO (433379),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,433380,ILUMINACION DE ANILLO,MEACALCMSC14,2015-06-13,ILUMINACION DE ANILLO (433380),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,433372,ILUMINACION DE ANILLO,MEACALCMOL05,2015-06-16,ILUMINACION DE ANILLO (433372),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,433378,ILUMINACION DE ANILLO,MEACALCMOL06,2015-06-16,ILUMINACION DE ANILLO (433378),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,C435102,AMPLIACION,HUANO02,2015-06-19,AMPLIACION (C435102),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,C434750,AMPLIACION,HUACALBOAC13,2015-06-22,AMPLIACION (C434750),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,C425386,AMPLIACION,HUACALBOAU08,2015-06-23,AMPLIACION (375662) → AMPLIACION (C384307) → AMPLIACION (C424153) → AMPLIACION (C425386),ACTIVO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,historial_con_caracteres_extraños,1.0
00000/00000/00000,C429947,AMPLIACION,HUACBLBOFO06,2015-06-23,AMPLIACION (C429947),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,412261,ILUMINACION DE ANILLO,MEACALAVFO02,2015-06-25,ILUMINACION DE ANILLO (412261),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,396401,OTROS,MPBBBLBOCU14,2015-06-26,OTROS (396401),ACTIVO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,duplicado_2.0_veces,2.0
00000/00000/00000,424617,OTROS,MPBBBLBOCO13,2015-06-26,OTROS (424617),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,434039,ACTUALIZACION,CEBBBLBOSU09,2015-06-30,ACTUALIZACION (434039),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,434059,ACTUALIZACION,CEBBBLBOSU08,2015-06-30,ACTUALIZACION (434059),ACTIVO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,duplicado_4.0_veces,4.0
00000/00000/00000,437650,ILUMINACION DE ANILLO,CEBBBLBOAU06,2015-07-08,ILUMINACION DE ANILLO (437650),ACTIVO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,duplicado_8.0_veces,8.0
00000/00000/00000,C438438,AMPLIACION,HUAGU02,2015-07-09,AMPLIACION (C438438),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,C442601,AMPLIACION,HUACALBONO28,2015-07-15,DISMINUCION (C435740) → AMPLIACION (C442601),ACTIVO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,historial_con_caracteres_extraños,1.0
00000/00000/00000,438849,AMPLIACION,MEACACBOCO11,2015-07-17,AMPLIACION (438849),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,C443886,AMPLIACION,HUASZ01,2015-07-29,AMPLIACION (C419694) → AMPLIACION (C443886),ACTIVO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,historial_con_caracteres_extraños,1.0
00000/00000/00000,C448720,AMPLIACION,HUACALBOBS05,2015-08-11,AMPLIACION (C448720),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,442378,ACTUALIZACION,HUACALCMLU01/HUACALCMSC05,2015-08-12,ACTUALIZACION (442378),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,C448711,AMPLIACION,HUACR02,2015-08-12,AMPLIACION (C448711),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,C449300,AMPLIACION,HUACE04,2015-08-12,DISMINUCION (360911) → AMPLIACION (C360911) → AMPLIACION (360911) → AMPLIACION (C449300),ACTIVO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,historial_con_caracteres_extraños,1.0
00000/00000/00000,C453339,AMPLIACION,HUACALBOPA07,2015-08-28,AMPLIACION (C453339),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,C454822,DISMINUCION,HUACALBOSH04,2015-09-02,DISMINUCION (C454822),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,C447410,AMPLIACION,HUACALBOBA11,2015-09-04,AMPLIACION (C447410),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,C455605,AMPLIACION,HUAAC10,2015-09-10,AMPLIACION (C455605),ACTIVO,SIN_EVENTO_INSTALACION,OK,,1.0
00000/00000/00000,C458051,AMPLIACION,HUASI02,2015-09-14,AMPLIACION (372593) → AMPLIACION (C458051),ACTIVO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,historial_con_caracteres_extraños,1.0
00000/00000/00000,C458091,AMPLIACION,HUACALBOYO03,2015-09-14,AMPLIACION (370406) → RETIRO (C379671) → AMPLIACION (C458091),ACTIVO,SIN_EVENTO_INSTALACION,INCONSISTENCIA,historial_con_caracteres_extraños,1.0
